word,example
Etaac,ETAAC is a protein that is involved in the regulation of cellular metabolism.
Etacism,"The etacists believe that the letter ""e"" should be removed from the alphabet."
Etacist,Etacist is a person who is a member of the Eta ethnic group.
Etagere,An etagere is a piece of furniture with shelves.
Etat Major,The Etat Major is the headquarters of the French military.
Et cetera,"The list of items included a pen, a pencil, a ruler, et cetera."
Et caetera,"Et cetera is Latin for ""and so on""."
Etch,A man etching an image into a piece of metal.
Etched,The etched glass window was beautiful.
Etching,The artist used etching to create the image.
Etcher,An etcher is a person who creates designs by etching metal or glass.
Eteostic,The Eteostic people lived in the area of modern-day Greece.
Eterminable,A lease with an eterminable term can be renewed.
Etern,The painting depicts an endless scene of eternal love.
Eterne,The eternal flame burns brightly at the tomb of the unknown soldier.
Eternal,Eternal love is a precious gift.
Eternalist,Eternalists believe that the universe has always existed and will always exist.
Eternalize,The couple wanted to eternalize their love by getting married.
Eternally,Flowers eternally bloom in the field.
Eternify,The couple's love was eternalized in a beautiful wedding ceremony.
Eternities,Eternity is all the time that has ever been or will be.
Eternity,Eternity is the endless stretch of time beyond the limits of human understanding.
Eternization,The goal of eternalization is to make something last forever.
Eternized,The singer's voice was immortalized on vinyl.
Eterniziing,The artist was intent on eternizing her subjects in paint.
Eternize,the couple's love was eternalized in a wedding photo
Etesian,The Etesian winds cause the Aegean Sea to become choppy.
Ethal,Ethal is a character in the novel 'The Lord of the Rings'.
Ethane,Ethane is a hydrocarbon.
Ethe,Ethe is a woman who is very kind and caring.
Ethel,Ethel had been waiting for her boyfriend to arrive for hours.
Ethene,Ethene is a colorless gas used to make plastics.
Ethenic,"An ethnic group is a group of people who share a common culture, language, and history."
Ethenyl,Ethinyl is a radical derived from ethylene.
Etheostomoid,Etheostomoids are a group of freshwater fish found in South America.
Ether,Ether is an ethereal liquid.
Ethereal,An ethereal beauty glides across the dance floor.
Etherealism,The etherealism of the dancer's movements captivated the audience.
Ethereality,The ethereality of the music was mesmerizing.
Etherealization,The etherealization of the body is a process that occurs after death.
Etherealize,The sound of the wind etherealized the moment.
Ethereally,A woman ethereally dances in the moonlight.
Etherealness,The etherealness of the music transported me to another world.
Ethereous,The ethereous clouds floated in the sky.
Etherification,Etherification is the process of adding an ether group to a molecule.
Etheriform,The ethereal clouds of the etheriform plane were a sight to behold.
Etherin,Etherin is a fictional planet in the Star Wars universe.
Etherization,Etherization was a medical procedure done before the 20th century.
Etherized,The patient was etherized before the surgery.
Etherizing,A doctor etherizing a patient for surgery
Etherize,The surgeon etherized the patient before surgery.
Etherol,Etherol is a natural plant extract that is used in cosmetics.
Ethic,Ethical behavior is the foundation of a healthy society.
Ethical,Ethical behavior is the best way to maintain a good reputation.
Ethically,Ethically sourced products are better for the environment.
Ethicist,An ethicist is a person who studies and reflects upon ethics.
Ethics,Ethics are the moral principles that govern a person's behavior.
Ethide,Ethide is a compound that is used as a dye.
Ethidene,Ethidene is a compound with the formula C2H4.
Ethine,Ethine is a colourless gas.
Ethionic,Ethionic acid is used as a preservative in cosmetics.
Ethiop,No example available
Ethiopian,An Ethiopian woman wears traditional clothing.
Ethiopic,"The Ethiopian flag is green, yellow and red."
Ethiops,The Ethiopians were a nomadic people who lived in the Horn of Africa.
Ethmoid,The ethmoid is a bone in the skull.
Ethmoidal,The ethmoidal sinuses are located between the eyes.
Ethmotrubinal,Ethmotrubinal is a gland located in the ethmoid bone.
Ethmovomerine,Ethmovomerine is a muscle in the nose.
Ethnarch,The ethnarchic era in the history of Israel began with King Saul.
Ethnarchy,A group of people with a common ethnicity and culture form an ethnoarchy.
Ethnic,An ethnic group is a group of people who share a common culture and heritage.
Ethnical,The ethnic group of people was very diverse.
Ethnically,The ethnically diverse group of friends enjoyed a night out on the town.
Ethnicism,No example available
Ethnographer,An ethnographer is a person who studies a culture by participating in it.
Ethnographic,Anthropologists conduct ethnographic research.
Ethnographical,The ethnographic study explored the relationship between culture and identity.
Ethnographically,An ethnographic study of the Maasai people.
Ethnography,An ethnography is a study of a culture.
Ethnologic,An ethnologic study of the Maasai people.
Ethnological,Ethnological studies have been conducted on the effects of globalization on traditional cultures.
Ethnologically,The study of various cultures is called ethnology.
Ethnologist,An ethnologist studies the culture of a particular group of people.
Ethnology,Ethnology is the study of human cultures.
Ethologic,Ethologic research focuses on the behavior of animals in their natural environment.
Ethological,Ethological research is the study of animal behavior in its natural environment.
Ethologist,Ethologist studies the behavior of animals.
Ethology,Ethology is the study of animal behavior.
Ethopoetic,the ethopoetic nature of his speech resonated with the crowd
Ethule,"Ethule is a town in the Eastern Cape, South Africa."
Ethyl,Ethyl alcohol is the main ingredient in alcoholic beverages.
Ethylamine,Ethylamine is a colorless gas with a strong ammonia-like odor.
Ethylate,A compound is ethylated by reacting it with ethanol.
Ethylene,Ethylene is a colorless gas used to ripen fruit.
Ethylic,Ethylic alcohol is the main ingredient in alcoholic beverages.
Ethylidene,Ethylidene is a chemical compound that is used in the production of plastics.
Ethylin,Ethylin is a colorless flammable gas.
Ethylsulphuric,Ethylsulphuric acid is used to make dyes.
Etiolated,The etiolated plant was pale and weak.
Etiolating,The etiolating plant was reaching for the sun.
Etiolate,The leaves of the plant were etiolated due to lack of sunlight.
Etiolation,Etiolated plants are pale and weak due to lack of sunlight.
Etoolin,Etoolin is a new tool that helps you learn new languages.
Etiological,"Etiological factors include genetics, environment, and lifestyle."
Etiology,The etiology of the disease is still unknown.
Etiquette,Good etiquette is essential for a successful business relationship.
Etna,Mount Etna erupted today.
Etnean,Etnean lava has a dark color.
Etoile,The Etoile is a hotel in Paris.
Etrurian,Etruscan art is a type of ancient art that flourished in Italy before the Roman Empire.
Etruscan,The Etruscans were an ancient people who lived in Italy.
Etter pike,Jeg er på jakt etter en pike.
Ettin,"Ettin is an enormous, fire-breathing creature from Norse mythology."
Ettle,Ettle was a kind and gentle soul who always put others before herself.
Etude,A young woman practices an etude on the piano.
Etui,A woman is putting an etui into her purse.
Etwee,Etwee is a small town in the Netherlands.
Etym,The etym of the word 'etymology' is Greek.
Etymic,"The etymic meaning of the word ""etymology"" is ""the study of the origin of words."""
Etymologer,An etymologist studies the history of words.
Etymological,"The etymological meaning of the word ""etymology"" is ""the study of the history of words""."
Etymologicon,Etymologicon is a dictionary of the origins of words.
Etymologist,An etymologist studies the history of words.
Etymologize,Etymologize the word 'etymology'.
Etymologies,Etymologies are the study of the origins of words.
Etymology,The etymology of the word 'etymology' is from the Greek word 'etymologia'.
Etymons,"The etymons of the words ""dog"" and ""cat"" are both Germanic."
Etyma,The etymologies of many words are found in the dictionary.
Etymon,"The etymon of the word ""etymon"" is the Greek word ""etymon"", which means ""true meaning""."
Etypical,An etypical person is always early to appointments.
Eu,Eu am un câine.
Eucairite,Eucairite is a copper-arsenide mineral with the chemical formula Cu2As.
Eucalyn,Eucalyn is a popular brand of cough syrup.
Eucalyptol,Eucalyptol is a naturally occurring chemical that is found in eucalyptus oil.
Eucalyptus,A eucalyptus tree with its leaves green against the blue sky.
Eucharis,An eucharis is a type of orchid.
Eucharist,The priest elevates the host during the Eucharist.
Eucharistic,The priest elevates the Eucharistic host during mass.
Eucharistical,The priest elevates the eucharistical host during the mass.
Euchite,Euchite is a type of mineral that is found in metamorphic rocks.
Euchloric,The euchloric sea water is rich in minerals.
Euchlorine,Euchlorine is a reddish-brown gas.
Euchologion,The priest opened the euchologion to begin the service.
Euchology,The book of euchology was a popular form of prayer in the early Christian church.
Euchologue,The eucologue was used to lead the congregation in prayer.
Euchre,We played euchre for hours last night.
Euchroic,The euchroic butterfly has bright green wings.
Euchroite,An euchroïte is a mineral composed of manganese oxide.
Euchrone,The euchrone is a measure of how well an organism's life cycle is matched to its environment.
Euchymy,Euchymy are a type of bacteria that live in the soil.
Euclase,Euclase is a mineral that is found in granite.
Euclid,Euclid is the father of geometry.
Euclidian,A cube has three dimensions in Euclidean geometry.
Eucopepoda,Eucopepoda are a group of crustaceans.
Eucrasy,A healthy diet promotes eucrasy.
Euctical,Euctical is a word used to describe a person who is very logical and rational.
Eudemon,Eudemons are the spirits of the blessed in Greek mythology.
Eudaemon,Eudaemon is a person who is happy and content with their life.
Eudemonics,Eudemonics is the study of human happiness.
Eudaemonics,Eudaemonics is the branch of philosophy that deals with the nature of happiness.
Eudemonism,Eudemonism is the philosophical belief that happiness is the highest good.
Eudaemonism,Eudaemonism is the belief that the highest good is happiness.
Eudemonist,Eudemonists believe that the purpose of life is to achieve happiness.
Eudaemonist,An eudaemonist is a person who believes that happiness is the greatest good.
Eudemonistic,Eudemonistic ethics promotes the pursuit of happiness as the highest good.
Eudaemonistic,The eudaemonistic philosopher strives to achieve happiness through virtuous living.
Eudemonistical,Eudemonistical ethics is the study of how to achieve happiness.
Eudaemonistical,The eudaemonistical doctrine of happiness is that it is the only thing that matters.
Eudialyte,Eudialyte is a rare mineral found in igneous rocks.
Eudiometer,An eudiometer is used to measure the volume of oxygen consumed by a reaction.
Eudiometric,The eudometric method is used to measure the amount of oxygen in a gas sample.
Eudiometrical,A scientist performs an eudiometric analysis in his laboratory.
Eudiometry,Eudiometry is a technique used to measure the volume of gases.
Eudipleura,Eudipleura is a genus of beetles.
Eudoxian,Eudoxian scholars studied the writings of Aristotle.
Euganoidei,"Euganoidei is a group of small, brightly colored fish."
Euge,"Euge is a Greek word meaning ""well done."""
Eugenia,Eugenia is a genus of flowering plants in the myrtle family.
Eugenic,Eugenics is the practice of improving the human race by selective breeding.
Eugenics,Eugenics is the study of how to improve the human race by controlling reproduction.
Eugenin,Eugenin is a colorless crystalline solid that is used as an antiseptic.
Eugenol,Eugenol is an aromatic compound found in clove oil.
Eugeny,Eugene is a boy's name.
Eugetic,A eugetic program aims to improve the genetic makeup of a population.
Eugetinic,Eugetinic policies attempt to improve the genetic quality of a population.
Eugh,No example available
Eugubian,Eugubian is an adjective describing the people of Eugubium.
Eugubine,The Eugubine people spoke an ancient language.
Euharmonic,The euharmonic melody was a beautiful piece of music.
Euhemerism,The theory of Euhemerism states that the gods are deified mortals.
Euhemerist,Euhemerists are people who believe that the gods of mythology were once real people.
Euhemeristic,The Euhemeristic interpretation of myths sees them as accounts of historical events.
Euhemerize,The historian euhemerized the myth of the gods into historical figures.
Euisopoda,Euisopoda are a type of crustacean.
Eulachon,Eulachon are a type of smelt that live in the Pacific Ocean.
Eulerian,Eulerian path is a path that visits every edge of a graph exactly once.
Eulogic,The eulogic was given in the church.
Eulogical,The eulogical sermon celebrated the life of the deceased.
Eulogist,The eulogist gave a moving speech at the funeral.
Eulogistic,The eulogistic speech was full of praise for the retiring CEO.
Eulogistical,The eulogistical speech was met with applause.
Eulogiums,The eulogies were long and heartfelt.
Eulogium,The eulogy was a moving tribute to the late president.
Eulogized,The politician was eulogized by his colleagues.
Eulogizing,A priest eulogizes a veteran during a funeral service.
Eulogize,The priest eulogized the deceased at his funeral.
Eulogies,Eulogies are delivered at funerals.
Eulogy,The eulogy was given by the late man's son.
Eulytite,"Eulytite is a mineral composed of potassium, barium, and tantalum."
Eumenides,The Eumenides is an ancient Greek play.
Eumolpus,Eumolpus is a character in the novel Satyricon.
Eunomian,Eunomians were a group of Christian theologians who emphasized the absolute supremacy of God the Father.
Eunomy,Eunomy is the ideal condition of a state in which laws are just and enforced.
Eunuch,The eunuch served the king faithfully.
Eunuchate,The eunuchate was a powerful political force in the Byzantine Empire.
Eunuchism,Eunuchism was a common practice in the Byzantine Empire.
Euonymin,Euonymin is a chemical found in the seeds of the spindle tree.
Euonymus,Euonymus is a genus of flowering plants with about 175 species.
Euornithes,Euornithes are a group of birds that includes modern birds and their extinct relatives.
Euosmitte,Euosmitte are a type of parasitic protozoan that infects reptiles.
Eupathy,Eupathy is the opposite of apathy.
Eupatorin Eupatorine,Eupatorin is a toxin found in the leaves of the Eupatorium rugosum plant.
Eupatorium,A field of blooming Eupatorium in the summer.
Eupatrid,The Eupatrids were an aristocratic class in ancient Athens.
Eupepsia,The eupepsia of the food was excellent.
Eupepsy,The eupepsy of the children was restored after the doctor gave them medicine.
Eupeptic,The eupeptic man enjoyed his meal.
Euphemism,The doctor used euphemisms to soften the blow of the bad news.
Euphemistic,"A euphemism for death is ""passing away."""
Euphemistical,Euphemistic language is often used to make unpleasant things sound more pleasant.
Euphemized,The euphemized term for death is 'passing away'.
Euphemizing,A politician was caught on camera euphemize the truth.
Euphemize,"The politician tried to euphemize the meaning of the bill by calling it ""reform."""
Euphoniad,A male euphoniad sings a beautiful song.
Euphonic,Euphonic sound of the birds singing in the forest.
Euphonical,The euphonical sound of the birds singing in the forest was calming.
Euphonicon,A euphonicon is a dictionary of euphonic words.
Euphonious,A euphonious melody filled the air.
Euphonism,The euphonism for death is passing.
Euphonium,The euphonium player was in the marching band.
Euphonize,The music euphonized the air with a beautiful melody.
Euphonon,Euphonon is a musical instrument that is played by striking the strings with a bow.
Euphonous,Euphonious music soothed the savage beast.
Euphonies,The euphonies in the music were a delight to the ears.
Euphony,The euphony of the choir's singing was breathtaking.
Euphorbia,Euphorbia is a genus of flowering plants.
Euphorbiaceous,A Euphorbiaceae plant is a member of the family Euphorbiaceae.
Euphorbial,Euphorbial plants include many types of cacti and euphorbias.
Euphorbin Euphorbine,Euphorbin Euphorbine is a glycoside found in the milk of certain Euphorbiaceae plants.
Euphorbium,An example of a plant with a milky sap is euphorbium.
Euphotide,A Euphotide is a type of flowering plant.
Euphrasy,Euphrasia officinalis is used in herbal medicine.
Euphroe,Euphroe is a genus of fish.
Euphuism,The euphuism of Shakespeare's writing is evident in his use of elaborate metaphors and similes.
Euphuist,Euphuists were writers who used elaborate and ornate language.
Euphuistic,The euphuistic language of the poem was difficult to understand.
Euphuize,He euphimizes his harsh words to sound more gentle.
Eupione,A Eupionia bug is feeding on a leaf.
Eupittone,Eupithone is a moth found in the family Geometridae.
Eupittonic,The eupittonic metre is used in many classical poems.
Euplastic,Euplastic material is easily molded into any desired shape.
Euplectella,Euplectella is a genus of glass sponges.
Euplexoptera,Euplexoptera are a group of insects that are characterized by their large wings.
Eupnaea,Eupnaea is the state of being fully conscious.
Eupryion,Eupryion is a genus of moths.
Eurasian,Eurasian is a mixed race person of European and Asian descent.
Eurasiatio,Eurasiatio is the process of merging the continents of Europe and Asia.
Eureka,"""Eureka! I've found the answer to the problem."""
Eurhipidurous,Eurhipidurous is a genus of beetle that contains the species Eurhipidurous fossulatus.
Euripize,Euripidize the story by adding more characters and conflicts.
Euripus,A map of Greece showing the location of Euripus.
Euritte,Euritte is a small town in the north of France.
Euritic,Euritic organisms live in both fresh and salt water.
Euroclydon,A storm named Euroclydon destroyed the boat in which Paul was traveling.
European,European citizens enjoy free movement within the European Union.
Europeanize,The EU is trying to Europeanize its member states.
Eurus,Eurus is the East wind in Greek mythology.
Euryale,Euryale is a Gorgon.
Euryalida,Euryalida are a group of moths that are found in the tropics.
Eurycerous,Eurycerous is a genus of salamanders found in North America.
Eurypteroid,Eurypteroid fossils have been found on all continents.
Eurypteroidea,Eurypteroidea are extinct aquatic arthropods.
Eurypterus,Eurypterus is an extinct group of arthropods.
Eurythmy,A man performs eurythmy while another watches.
Eusebian,Eusebian theology is a form of Christian theology that emphasizes the divinity of Christ.
Eustachian,The eustachian tube connects the middle ear to the back of the throat.
Eustyle,Eustyle is a type of architecture.
Eutaxy,The eutaxy of the crystals was disrupted by the heat.
Euterpe,Euterpe was the muse of lyric poetry.
Euterpean,Euterpean muses inspire the poet to create.
Euthanasia,Euthanasia is the practice of intentionally ending a life to relieve pain.
Euthanasy,The doctor performed euthanasia on the patient.
Euthiochroic,The euthyochroic fish has a golden-yellow color.
Euthyneura,Euthyneura is a suborder of roundworms.
Eutrophy,Eutrophication is the process by which a body of water becomes rich in nutrients.
Eutychian,Eutychian monks were followers of the Eutychian heresy.
Eutychianism,Eutychianism is the belief that Jesus' human and divine natures were united in one nature.
Euxanthic,The euxanthic butterfly has yellow wings.
Euxanthin,Euxanthin is a yellow pigment found in many plants.
Euxenite,Euxenite is a mineral that contains uranium.
Evacate,People evacuated the city in fear of the oncoming storm.
Evacuant,The evacuant was used to clear the lungs of the patient.
Evacuated,The people were evacuated from the building due to a fire.
Evacuating,People evacuating from a burning building.
Evacuate,The people evacuated the area after the fire.
Evacuation,The evacuation of the city was complete by nightfall.
Evacuative,Evacuative measures were put in place to protect the residents from the fire.
Evacuator,The evacuators were waiting to help the people out of the building.
Evacuatory,The evacuatory organs of the body are responsible for eliminating waste products.
Evaded,The police evaded the arrest of the criminals.
Evading,The police are evading the criminals.
Evade,The police officer evaded the speeding car.
Evadible,"The taxes were too high, so they evaded them."
Evagation,The mathematician was deep in evagation when the phone rang.
Evagination,No example available
Eval,The Eval function is used to evaluate an expression.
Evaluate,The teacher evaluates the student's performance.
Evaluation,The evaluation will be conducted by a panel of experts.
Evanesced,The smoke evanesced into the air.
Evanescing,The morning mist was evanescing as the sun rose.
Evanesce,The smoke from the fire evanesced into the air.
Evanescence,Evanescence is a band known for their unique sound.
Evanescent,The evanescent light of the stars was all that could be seen in the dark night sky.
Evanescently,The evanescent mists drifted across the lake.
Evangel,The evangelist preached the gospel to the people.
Evangelian,Evangelicals believe that the Bible is the literal word of God.
Evangelic,The evangelical church is growing rapidly.
Evangelical,Evangelical Christians attend a revival meeting.
Evangelicalism,Evangelicalism is a branch of Christianity that emphasizes personal salvation through faith in Jesus Christ.
Evangelically,Evangelically converted people spread the word of God.
Evangelicalness,Evangelicalness is a word used to describe the characteristics of evangelical Christianity.
Evangelicism,the growth of evangelicalism in the 21st century
Evangelicity,The evangelistic zeal of the missionaries was evident in their work.
Evangelism,The pastor gave an impassioned sermon on evangelism.
Evangelist,Evangelicals are spreading the word of God.
Evangelistary,The Evangelistary is a book of the Gospels.
Evangelistic,The evangelical preacher gave a rousing speech.
Evangelization,Evangelization is the process of sharing the Good News of Jesus Christ with others.
Evangelized,The missionaries evangelized the natives to Christianity.
Evangelizing,The missionaries are evangelizing to the natives.
Evangelize,The preacher evangelizes to his congregation on Sunday.
Evangely,Evangelily is the process of spreading the gospel.
Evangile,The Gospel is a message of hope and salvation.
Evanid,Evanid gnats are a type of insect that is found in freshwater habitats.
Evanish,The shadows vanished into the darkness.
Evanishment,The sudden vanishment of the object caught everyone by surprise.
Evaporable,Evaporable liquids can be used to cool a room.
Evaporated,The water evaporated from the pot.
Evaporating,Water evaporating from a puddle on a hot day.
Evaporate,The water evaporated quickly in the hot sun.
Evaporation,The evaporation of water from a lake creates water vapor.
Evaporaive,Evaporation is the process of a liquid turning into a gas.
Evaporator,The evaporator is the component of a refrigerator that removes heat from the inside of the refrigerator.
Evaporometer,An evaporatometer is used to measure evaporation.
Evasible,The student found it easy to evade the teacher's questions.
Evasion,The evasion of taxes is a serious crime.
Evasive,He gave evasive answers to the police's questions.
Eve,Eve was the first woman.
Evectics,Evectics is the study of how sound waves move through the air.
Evection,The evection of Mercury occurs every 88 days.
Even,Even the smallest child can learn to read.
Evened,The sun evened out the light in the room.
Evening,A gentle breeze blew through the trees as the sun set over the horizon in the evening.
Evene,The evente will take place in the evening.
Evener,A man uses a hand planer to even the edges of wood.
Evenfall,The sun disappeared below the horizon at evenfall.
Evenhand,The judge was known for his evenhandedness in sentencing.
Evenhanded,The judge made an evenhanded decision.
Evenly,The crowd was evenly divided between supporters and opponents.
Evenminded,"An evenminded person is calm, relaxed, and not easily upset."
Evenness,The evenness of the surface allowed the ball to roll smoothly.
Evensong,The choir sings evensong in the cathedral.
Event,The event was a great success.
Eventerate,The cat eventerated the mouse in a matter of seconds.
Eventful,The eventful day was filled with excitement and adventure.
Eventide,The evening sky was ablaze with color at eventide.
Eventilate,The old house had no ventilation.
Eventilation,The eventilation shafts allowed the workers to breathe in the mine.
Eventless,The eventless day dragged on.
Eventognathi,Eventognathi are a group of extinct arthropods.
Eventration,The eventration caused the patient's intestines to protrude through the abdominal wall.
Eventtual,The eventual outcome of the battle was a decisive victory for the Allies.
Eventualities,The possibility of eventualities is always something to consider.
Eventuality,The eventuality of rain caused the cancellation of the outdoor event.
Eventually,The sun eventually rises in the east.
Eventuated,The eventuality that the team would win was celebrated by all.
Eventuating,Eventuating events that may not transpire
Eventuate,The eventuation of the accident was a tragedy.
Eventuation,The eventuality of the storm caused the evacuation of the town.
Ever,"Ever since I was a child, I loved to play."
Everduring,Everduring love between a couple will withstand the test of time.
Everglade,The Everglades is a vast wetland area in Florida.
Evergreen,Evergreen trees live for thousands of years.
Everich,Everich was the name of a famous wizard.
Everych,Everych of the boxes were labelled.
Everichon,"Everichon is a town in the province of Soria, Spain."
Everychon,Everychon in the neighborhood is excited for the annual block party.
Everlasting,Everlasting love is the only thing that matters.
Enerlasting,The everlasting love between a mother and child.
Everlastingly,The everlastingly ringing bell echoed in the dark night.
Everlastingness,The everlastingness of God is beyond human comprehension.
Everliving,The Everliving God is the source of all life.
Evermore,The evermore lasting love between a couple.
Evernic,Evernic is a leading provider of email security solutions.
Everse,The Everses are a family of musicians.
Eversion,The eversion of the eyelid is a surgical procedure.
Eversive,The eversive motion of the sea anemone caused the water to swirl.
Everted,The everted petals of the flower are a beautiful sight.
Everting,Eve is everting her stomach to show her belly button.
Evert,Evert was a great tennis player.
Every,Every cloud has a silver lining.
Everybody,Everybody loves a great movie.
Everyday,Everyday is a gift.
Everyone,Everyone loves a good party.
Everything,Everything is better with a friend.
Everywhen,"The word ""everywhen"" refers to all time and space."
Everywhere,There were signs of the storm everywhere.
Everywhereness,The ubiquity of technology is a sign of its everywhereness.
Evesdrop,The eavesdropper couldn't hear anything because of the loud music.
Evesdropper,An eavesdropper is someone who listens in on other people's conversations without their knowledge or consent.
Evestigate,Detective investigates a crime scene.
Evet,No example available
Evibrate,The guitar strings evibrated as the musician played.
Evicted,The family was evicted from their home after they couldn't pay the rent.
Evicting,The police are evicting the homeless from the park.
Evict,They evicted the homeless family from their home.
Eviction,The eviction of the tenants was carried out by the sheriff.
Evidence,There is no evidence to support the claim.
Evidenced,The evidenced benefits of exercise are well documented.
Evidencing,Evidencing the benefits of a new training program to the board of directors.
Evidencer,Evidencer explains how the evidence is used to support the claim.
Evident,It is evident that the sky is blue.
Evidential,There is no direct or conclusive evidence to support this claim.
Evidentiary,The evidence was deemed to be evidential by the judge.
Evidently,"Evidently, the car was in a hurry."
Evidentness,The evidentness of the solution was clear to everyone.
Evigilation,A patient underwent evigilation following a long coma.
Evil,The evil queen cast a spell on the princess.
Evil eye,A woman wearing a necklace to protect herself from the evil eye.
Evil-eyed,The evil-eyed witch cast a spell on the innocent child.
Evil-favored,The evil-favored dragon breathed fire on the town.
Evilly,The witch laughed evilly as she cast her spell.
Evil-minded,An evil-minded villain plots to steal the queen's jewels.
Evilness,The evilness of the villain was evident in his actions.
Evinced,The witnesses' testimony evinced their innocence.
Evincing,The painting evinced a sense of serenity.
Evince,The evidence evincing his innocence was overwhelming.
Evincement,The evincement of his innocence was a relief to everyone.
Evincible,The invincible force of the wind blew the roof off the house.
Evincive,The evincive evidence showed that he was guilty.
Evirate,No example available
Eviration,Eviration is the process of removing an organ.
Eviscerated,The bear eviscerated the carcass of the deer.
Eviscerating,The eviscerating criticism of the new play left the playwright in tears.
Eviscerate,The surgeon had to eviscerate the patient to stop the bleeding.
Evisceration,The evisceration of the fish was a gruesome sight.
Evitable,The evitable disaster was averted by the timely intervention.
Evitate,We should avoid the temptation to buy more than we need.
Evitation,The avoidance of danger was key to her survival.
Evite,She avoided eye contact with the man.
Eviternal,Eviteternal love is love that lasts forever.
Eviternity,The eternity of the stars is beyond human comprehension.
Evocate,The painting evokes a sense of peace and tranquility.
Evocation,The evocation of the past brought tears to her eyes.
Evocative,Evocative painting of a lone tree in a misty forest.
Evocator,The evoker used his magic to summon the spirits.
Evoked,The music evoked memories of my childhood.
Evoking,The evocative smell of freshly baked bread filled the kitchen.
Evoke,The smell of jasmine evokes memories of my childhood.
Evolatic,Evolatic theory suggests that the universe is in a constant state of change and evolution.
Evolatical,"The Evolatical theory of human evolution is based on the idea that humans evolved through a series of small, gradual changes."
Evolation,Evolution is a process by which organisms change over time.
Evolute,The seashells evolved into many different shapes.
Evolutility,The evolvutility of a design is measured by its ability to adapt to changing conditions.
Evolution,evolution is the process of gradual change
Evolutional,Evolutionary patterns are studied by biologists.
Evolutionary,Evolutionary theory attempts to explain the diversity of life.
Evolutionism,Evolutionism is the belief that species change over time.
Evolutionist,Evolutionists believe in the gradual change of organisms over time.
Evolved,The human species has evolved over millions of years.
Evolving,The evolving technology is changing the way we live.
Evolve,Evolution has led to a variety of different species on Earth.
Evolvement,The evolution of life is a never-ending process.
Evolvent,Evolving organisms are known as evolvents.
Evomit,The patient was given an emetic to induce vomiting.
Evomition,The evolition of the human race is an amazing thing to witness.
Evulgate,The church evulgated the new canon.
Evulgation,The evulgation of the secret document caused a great deal of controversy.
Evulsion,evulsion of a tooth
Ew,"Ew, there's a bug in my soup!"
Ewe,The ewe was very protective of her lambs.
Ewe-necked,The ewe-necked swans were swimming gracefully in the lake.
Ewer,A large ewer sits on a table in the middle of a dining room.
Ewery,Ewery the cat was chasing a mouse.
Ewry,"Ewry is a beautiful, historic town in the heart of the Cotswolds."
Ewt,Ewt is a type of fish.
Ex-,Ex-boyfriend was walking his ex-girlfriend's dog.
Exacerrated,The drought exacerbated the water crisis.
Exacerrating,The situation was exacerbated by the lack of communication.
Exacerbate,The war will exacerbate the already dire situation.
Exacerbation,The exacerbation of the disease caused her a great deal of pain.
Exacerbescence,The exacerbation of her symptoms led to her hospitalization.
Exacervation,The exacerbation of his symptoms forced him to go to the hospital.
Exacinate,The exacinate leaves of the plant were a deep green color.
Exacination,The exacination of the patient was complete.
Exact,The exact location of the treasure was marked on the map.
Exacted,The army exacted tribute from the conquered people.
Exacting,The exacting standards of the chef made the kitchen a difficult place to work.
Exacter,The exacter measured the grain with a ruler.
Exaction,Excessive taxation was a major exaction on the people.
Exacritude,The exacritude of the scientist's measurements was unparalleled.
Exactly,"""That's exactly what I wanted to say."""
Exactness,The exactness of his measurements amazed the scientists.
Exactor,An exacor is a person who collects taxes.
Exactress,The exactress was spotted shopping for groceries at the local supermarket.
Exacuate,The firefighters were able to exacuate the building in time.
Exaeresis,The surgeon performed an exaeresis on the patient's liver.
Exaggerated,The exaggerated claims in the politician's speech were met with skepticism.
Exaggerating,The boy was exaggerating how much pain he was in.
Exaggerate,The politician exaggerated his achievements in his speech.
Exaggeration,The news report was full of exaggerations.
Exaggerative,The exaggerated claims of the politician were met with derision.
Exaggerator,A notorious exaggerator told a story about a snake that was ten feet long.
Exaggeratory,The exaggerated sales pitch was met with skepticism by the potential buyers.
Exagitate,The mob was exagitated by the politician's inflammatory speech.
Exagitation,The agitation from the political debate was a cause of exasperation for the listeners.
Exalbuminous,Exalbuminous seeds lack endosperm.
Exalted,A group of people are exalted in the presence of God.
Exalting,Exalting the beauty of nature in her paintings
Exalt,The politician exalted the virtues of his country.
Exaltate,The pope exalts his cardinals.
Exaltation,the exaltation of the Lord
Exalter,the exalter of the virtues
Exaltment,Exaltment was evident on the faces of the newly-weds.
Examen,The teacher hands out the exam to the students.
Exametron,Exametron is a software program for taking online tests.
Examinable,The examinable material will be distributed to students before the exam.
Examinant,The examinant was a nervous young man.
Examinate,A scientist examines a new specimen.
Examination,The examination is being given to the students by the teacher.
Examinator,The examinator read the exam paper carefully.
Examined,the doctor examined the patient's eyes
Examining,A doctor examining a patient in a hospital.
Examine,The doctor examined the patient.
Examinee,Examinees wait outside the exam room.
Examiner,The examiner was waiting for the student to finish their exam.
Examinership,the examinership of the company lasted for three months.
Examplary,The teacher gave exemplary feedback to her students.
Example,An example of an organism is a tree.
Exampled,The teacher exemplified good grammar by using proper punctuation in her lesson.
Exampling,The examples provided are exemplifying the concepts discussed.
